trade_id,instrument_type,counterparty,currency,notional,pv
EQ-FWD-000057,EquityForward,CP005,JPY,18886929.13,-4098351.72
CDS-000064,CDS,CP004,USD,36895075.39,1550043.17
EQ-OPT-000044,EquityOption,CP003,JPY,19026259.59,-4430601.89
EQ-FWD-000085,EquityForward,CP003,JPY,17189253.08,-3903365.52
EQ-FWD-000101,EquityForward,CP003,EUR,5853796.53,332206.80
FX-FWD-000145,FxForward,CP003,USD,78053577.69,-105253773.92
IRS-000106,IRS,CP002,EUR,139374020.84,791544.87
EQ-OPT-000149,EquityOption,CP005,USD,18945665.01,794920.27
EQ-OPT-000081,EquityOption,CP001,USD,28338267.04,1146749.18
CDS-000129,CDS,CP001,USD,24867514.36,1108236.81
CDS-000114,CDS,CP005,USD,99796797.46,4326628.44
FX-OPT-000016,FxOption,CP005,USD,36226282.38,-51833047.71
FX-OPT-000021,FxOption,CP002,EUR,29761369.72,-43342821.73
IRS-000125,IRS,CP002,USD,150895660.37,5332322.32
FX-OPT-000126,FxOption,CP001,USD,48122713.80,-71247961.28
FX-FWD-000008,FxForward,CP004,USD,41800959.78,-56917818.46
CDS-000032,CDS,CP003,USD,53553858.61,2674570.17
FX-FWD-000143,FxForward,CP004,EUR,74735909.90,-112330629.30
EQ-FWD-000121,EquityForward,CP002,JPY,13635293.25,-2927545.97
IRS-000180,IRS,CP004,JPY,227720734.89,3706322.24
IRS-000199,IRS,CP005,JPY,172512572.41,4701275.49
EQ-OPT-000129,EquityOption,CP004,USD,32128442.90,1403260.39
EQ-OPT-000095,EquityOption,CP001,USD,41025318.54,815223.17
CDS-000024,CDS,CP004,USD,67689793.07,3446238.02
CDS-000022,CDS,CP003,USD,59412225.13,2895124.95
FX-OPT-000026,FxOption,CP004,USD,16293415.56,-21306179.68
EQ-FWD-000052,EquityForward,CP001,EUR,4325068.96,245155.49
EQ-FWD-000131,EquityForward,CP001,USD,8092632.38,354797.72
FX-FWD-000144,FxForward,CP002,GBP,99380543.89,4509858.13
CDS-000102,CDS,CP005,USD,39206547.38,2004716.10
IRS-000029,IRS,CP002,JPY,420223613.95,8526258.63
EQ-OPT-000199,EquityOption,CP002,JPY,19459130.78,-5041508.34
IRS-000056,IRS,CP001,GBP,266977734.35,5842854.04
FX-FWD-000088,FxForward,CP002,GBP,49186952.55,2247283.63
EQ-FWD-000025,EquityForward,CP001,USD,17704587.33,342766.68
CDS-000063,CDS,CP001,USD,57416265.03,2745176.96
EQ-FWD-000031,EquityForward,CP001,EUR,7199820.48,408010.73
IRS-000037,IRS,CP003,JPY,463764705.27,5360182.83
FX-OPT-000054,FxOption,CP001,EUR,7641115.79,358372.55
EQ-OPT-000171,EquityOption,CP005,USD,23558072.45,1012330.63
IRS-000002,IRS,CP002,EUR,96883904.45,3725785.27
EQ-FWD-000066,EquityForward,CP005,USD,11631178.74,450908.24
EQ-OPT-000012,EquityOption,CP002,USD,17494240.66,275727.72
EQ-OPT-000136,EquityOption,CP005,USD,47838510.72,786719.88
EQ-OPT-000183,EquityOption,CP005,USD,37368047.76,1686536.33
FX-OPT-000003,FxOption,CP001,USD,43775829.83,2131170.42
CDS-000039,CDS,CP002,USD,60709139.30,2734149.50
FX-FWD-000137,FxForward,CP005,GBP,41133966.44,1875776.81
FX-OPT-000149,FxOption,CP001,USD,32265369.71,1577026.46
EQ-OPT-000041,EquityOption,CP003,JPY,29505343.75,-6689886.93
CDS-000010,CDS,CP005,USD,40191129.51,2019304.03
CDS-000100,CDS,CP001,USD,48511177.16,2271202.33
IRS-000159,IRS,CP003,GBP,247236868.50,7357605.97
